Designator,Footprint,Quantity,Value,LCSC Part #
"BT1, BT2",BAT_CR2032-BS-6-1,2,CR2032 (3V),C70377
C1,0603,1,0.1uF,C15849
C2,0603,1,0.1uF,C15849
C3,0603,1,22pF,C1653
C4,0603,1,4.7uF,C19666
C5,0603,1,22pF,C1653
C6,0603,1,10uF,C19702
C7,0603,1,1uF,C15849
"C8, C9",CP_EIA-3216-18_Kemet-A,2,10uF,C7171
D1,0805,1,LED_Small,C84256
D10,0805,1,LED_Small,C84256
D11,0805,1,LED_Small,C84256
D12,0805,1,LED_Small,C84256
D13,0805,1,LED_Small,C84256
D14,0805,1,LED_Small,C84256
D15,0805,1,LED_Small,C84256
D16,0805,1,LED_Small,C84256
D2,0805,1,LED_Small,C84256
D3,0805,1,LED_Small,C84256
D4,0805,1,LED_Small,C84256
D5,0805,1,LED_Small,C84256
D6,0805,1,LED_Small,C84256
D7,0805,1,LED_Small,C84256
D8,0805,1,LED_Small,C84256
D9,0805,1,LED_Small,C84256
J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0,C165948
Q1,SOT-23,1,Q_PMOS_GSD,C15127
R1,0603,1,5.1K,C23186
R10,0603,1,220,C22962
R11,0603,1,220,C22962
R12,0603,1,220,C22962
R13,0603,1,220,C22962
R14,0603,1,220,C22962
R15,0603,1,10K,C25804
R16,0603,1,220,C22962
R17,0603,1,220,C22962
R18,0603,1,220,C22962
R19,0603,1,220,C22962
R2,0603,1,5.1K,C23186
R20,0603,1,220,C22962
R21,0603,1,220,C22962
R22,0603,1,220,C22962
R23,0603,1,220,C22962
R26,0603,1,10K,C25804
R3,0603,1,22,C23345
R4,0603,1,22,C23345
R5,0603,1,10K,C25804
R6,0603,1,100K,C25803
R7,0603,1,220,C22962
R8,0603,1,220,C22962
R9,0603,1,220,C22962
SW1,SW-SMD_MK-12C02-G020,1,SW_SPDT,C963206
"SW2, SW5",SW_TS-1187A-B-A-B,2,SW_Push,C318884
U1,SOT-223-3_TabPin2,1,AMS1117-5.0,C6187
U2,TQFP-32_7x7mm_P0.8mm,1,ATmega16U2-A,C59019
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,Crystal_GND24,C13738
