Designator,Mid X,Mid Y,Rotation,Layer
BT1,172.0,-71.0,180.0,bottom
BT2,130.000001,-71.0,180.0,bottom
C1,148.0,-103.0,270.0,bottom
C2,158.0,-105.0,270.0,bottom
C3,147.0,-102.0,270.0,top
C4,146.0,-103.0,270.0,bottom
C5,155.0,-102.0,270.0,top
C6,184.11,-109.0,270.0,bottom
C7,136.0,-96.0,180.0,bottom
C8,169.525,-105.475,0.0,bottom
C9,169.551428,-100.245,0.0,bottom
D1,141.337087,-117.712915,45.0,top
D10,151.0,-75.0,270.0,top
D11,142.171573,-69.171573,315.0,top
D12,132.171573,-66.171573,315.0,top
D13,122.0,-73.0,0.0,top
D14,117.0,-84.0,0.0,top
D15,123.171573,-98.878429,45.0,top
D16,132.337087,-108.712915,45.0,top
D2,151.0,-126.0,90.0,top
D3,160.662913,-117.712915,135.0,top
D4,169.662913,-108.712915,135.0,top
D5,178.863782,-98.913784,135.0,top
D6,185.1125,-84.0,180.0,top
D7,180.0,-73.0,180.0,top
D8,169.793071,-66.206929,225.0,top
D9,159.748878,-69.251122,225.0,top
J1,151.0,-140.0,0.0,bottom
Q1,172.525,-94.025,270.0,bottom
R1,156.0,-127.175,90.0,bottom
R10,166.834486,-105.884488,135.0,top
R11,176.0,-96.050002,135.0,top
R12,181.0,-84.0,180.0,top
R13,176.0,-73.0,180.0,top
R14,167.0,-69.0,225.0,top
R15,161.0,-83.0,180.0,bottom
R16,157.0,-72.0,225.0,top
R17,151.0,-79.0,270.0,top
R18,145.0,-72.0,315.0,top
R19,135.0,-69.0,315.0,top
R2,146.0,-127.175,90.0,bottom
R20,126.0,-73.0,0.0,top
R21,121.0,-84.0,0.0,top
R22,126.0,-96.050002,45.0,top
R23,135.121321,-105.928681,45.0,top
R26,162.0,-98.0,270.0,bottom
R3,154.0,-127.175,90.0,bottom
R4,148.0,-127.175,90.0,bottom
R5,129.0,-133.0,180.0,bottom
R6,172.525,-88.675,90.0,bottom
R7,144.133695,-114.916307,45.0,top
R8,151.0,-122.050002,90.0,top
R9,157.834486,-114.884488,135.0,top
SW1,193.09,-106.0,270.0,bottom
SW2,111.0,-134.923554,0.0,bottom
SW5,193.0,-118.0,0.0,bottom
U1,171.0,-114.9,90.0,bottom
U2,151.0,-91.0,135.0,top
Y1,151.0,-102.0,0.0,top
